gene_id	gene_short_name	E12.5_DFL_WT_RNAseq_rep1	E12.5_DFL_WT_RNAseq_rep2	E12.5_DFL_WT_RNAseq_rep3	E12.5_DFL_DelCBS1_RNAseq_rep1	E12.5_DFL_DelCBS1_RNAseq_rep2	E12.5_DFL_DelCBS1_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000054717	Hmgb2	1011.51043463379	624.128729797068	599.40942632664	185.307682377757	179.990832063077	154.664076721421	459.168530319959	2.1048080420896	0.179626530830658	11.7176902117755	1.03454309863625e-31	1.38577048062325e-27
ENSMUSG00000020415	Pttg1	774.516464405536	969.369372691459	699.614649572734	282.481223136824	319.338573015136	282.760091183947	554.680062334273	1.46421412034521	0.132870295842056	11.0198755189477	3.06482617322925e-28	2.05266732952029e-24
ENSMUSG00000025478	Dpysl4	367.088532608874	285.1086390269	301.526626313249	158.189484956622	146.121589470562	119.556280165025	229.598525423539	1.17299347134122	0.172308825783845	6.80750661496988	9.93047461591631e-12	4.43395691600663e-08
ENSMUSG00000001918	Slc1a5	652.489781862477	407.446164136624	641.313428775007	948.006984847182	1079.94499237846	1053.23389669188	797.072541448606	-0.856122953726582	0.140348998264232	-6.09995770767652	1.06096533086067e-09	2.36860510114645e-06
ENSMUSG00000073643	Wdfy1	637.362507167056	641.753627482367	662.26542999919	328.808143731263	398.68936994617	201.158185674486	478.339544000089	1.06509653562853	0.174384004999418	6.10776507645918	1.01035920544846e-09	2.36860510114645e-06
ENSMUSG00000004018	Fancl	522.395219481859	690.481285788783	679.573604923516	433.891158738162	394.818599364168	371.004012258132	515.360646759103	0.659332381146127	0.129261989489534	5.10074449379808	3.3832003019114e-07	0.000411981527673666
ENSMUSG00000078815	Cacng6	20.1696995938942	41.4703474948218	30.9725235487929	3.38977467764189	5.80615587300247	0.948859366389085	17.1262267590904	3.19416718906131	0.699182552212385	4.56843091829763	4.91388970694621e-06	0.00506319635573419
ENSMUSG00000069919	Hba-a1	2477.8475951099	2918.47570494808	3602.83325398459	1395.45724229591	1432.18511534061	1911.95162327401	2289.79175582552	0.924920008945244	0.218011979870086	4.24251919319482	2.21024631975174e-05	0.0148031247265373
ENSMUSG00000017446	C1qtnf1	41.3478841674831	107.822903486537	47.3697418981539	161.579259634263	160.636979153068	138.533467492806	109.548372638719	-1.23346406021882	0.29983804083567	-4.11376774201521	3.89253086742938e-05	0.0208561803876866
ENSMUSG00000073609	D2hgdh	100.848497969471	75.6833841780497	103.849049545953	133.331137320581	176.120061481075	246.703435261162	139.422594292715	-0.989576328879676	0.242579696914303	-4.0793864509991	4.51547189144546e-05	0.0232633638407354
ENSMUSG00000002908	Kcnn1	163.374566710543	156.550561792952	161.239313768716	228.244828294554	268.050862803614	252.396591459497	204.976120804979	-0.639181004206934	0.160634622510959	-3.97909861657207	6.91770441330179e-05	0.0290279106176288
ENSMUSG00000070732	Rbm44	0	1.03675868737054	0.910956574964498	13.5590987105676	8.70923380950371	39.8520933883416	10.678023528458	-4.9894836817022	1.25410620192056	-3.97851766785078	6.93462590342755e-05	0.0290279106176288
ENSMUSG00000027236	Eif3j1	175.476386466879	62.2055212422327	119.335311320349	55.3663197348176	49.352324920521	37.0055152891743	83.123563162329	1.33723240296535	0.339606594769185	3.93759256611081	8.23031864214978e-05	0.0324250347681166
ENSMUSG00000024868	Dkk1	84.7127382943555	106.786144799166	102.938092970988	197.736856195777	152.895437989065	161.306092286144	134.395893755916	-0.795053641015886	0.206747416991924	-3.84553119252243	0.000120291560001002	0.0402826361553355
