gene_id	gene_short_name	E12.5_PFL_WT_RNAseq_rep1	E12.5_PFL_WT_RNAseq_rep2	E12.5_PFL_WT_RNAseq_rep3	E12.5_PFL_DelCBS1_RNAseq_rep1	E12.5_PFL_DelCBS1_RNAseq_rep2	E12.5_PFL_DelCBS1_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000091345	Col6a5	185.559418146563	76.1385021427518	129.749727181666	481.23548435624	424.846145762087	434.902014629008	288.738548703053	-1.78698341548172	0.209086665289194	-8.54661588777119	1.26750154183376e-17	1.72785810182778e-13
ENSMUSG00000020415	Pttg1	561.070193330731	686.996829678852	447.445750354421	302.490875881065	317.632613694768	275.477017352606	431.852213382074	0.920482968632305	0.148728279756381	6.18902450925989	6.05376711621143e-10	2.75083177760647e-06
ENSMUSG00000048087	Gm4737	149.325922295459	127.772658768296	0	1.83327803564282	2.00399125359475	1.17224262703237	47.0180154966708	5.77246787948211	0.969713482553556	5.95275613192611	2.63664034073434e-09	8.98567028122262e-06
ENSMUSG00000070923	Klhl9	2723.0021124466	1688.17437509619	2200.02110941854	1434.54006289051	1389.76793436796	1366.83490311974	1800.39008288992	0.656262457166534	0.120310870414008	5.45472287672953	4.9049279284196e-08	0.000133727955040432
ENSMUSG00000015980	Lrrc27	50.5072972469934	63.886329384148	38.1616844651958	136.57921365539	114.227501454901	132.463416854657	89.3042405102143	-1.32508444004656	0.256121140523141	-5.17366288991219	2.29548821789614e-07	0.00044702993409086
ENSMUSG00000101174	Hoxd4	332.6893709965	279.174507856756	317.696023172755	173.244774368247	193.385155971893	177.008636681887	245.533078174673	0.772047726699698	0.151622417441783	5.09191015237661	3.54474081623326e-07	0.000604023835086147
ENSMUSG00000054717	Hmgb2	686.240451725454	344.811147634991	365.39812875425	111.829960174212	157.313313407188	124.257718465431	298.308453360254	1.82687052533977	0.369323674893961	4.94652969611085	7.55482069689432e-07	0.00114430350822293
ENSMUSG00000062270	Morf4l1	514.954834974781	528.593739014047	476.067013703318	913.889100767946	664.32310056666	698.65660571129	632.747399123007	-0.585057671855641	0.124347403454081	-4.70502524060899	2.53834547719066e-06	0.00314570232227846
ENSMUSG00000004018	Fancl	400.764423807665	567.100567683944	540.941877294151	273.15842731078	342.682504364702	325.883450314998	408.421875129373	0.684211812320027	0.146929561568634	4.65673350560171	3.21265862200755e-06	0.00364958019460058
ENSMUSG00000070732	Rbm44	1.09798472276073	0	0	13.7495852673212	14.0279387751633	50.4064329623917	13.2136569546061	-6.21528298053156	1.34756064164893	-4.61224733673304	3.98338598857117e-06	0.00417703983047709
ENSMUSG00000079277	Hoxd3	125.170258394723	100.642847659959	145.014400967744	46.7485899088919	56.111755100653	78.5402560111685	92.0380180071899	1.04043947541749	0.261534016397138	3.97821854973383	6.94335368323066e-05	0.0450722844808573
ENSMUSG00000030376	Slc8a2	163.599723691348	154.02731467959	188.900338102719	258.492203025638	262.522854220912	260.237863201185	214.630049486899	-0.625520321751723	0.158340504602491	-3.95047573785414	7.79960045524319e-05	0.0483291606390342
